coordinates,name,description,htmldescription,alertlevel,alertscore,episodealertlevel,episodealertscore,country,fromdate,todate,severity,severitytext,source,iso3,eventtype,GDACS ID,People affected,Countries,Start Date - Last detection,Duration (days),Burned area
"[84.63311194846368, 20.13184644656365]",Forest fires in India,Forest fires in India,Green Forest fires in India from: 26 Feb 2021 to: 07 Mar 2021.,Green,1,GREEN,1.0,India,2021-02-26T00:00:00,2021-03-07T00:00:00,5377.0,Green impact for forestfire in 5377 ha,GWIS,IND,WF,WF 1000113,185 in the burned area,India,26 Feb 2021  - 07 Mar 2021 ,9,5377 ha
"[84.44320280130376, 20.198751530000028]",Forest fires in India,Forest fires in India,Green Forest fires in India from: 26 Feb 2021 to: 07 Mar 2021.,Green,1,GREEN,1.0,India,2021-02-26T00:00:00,2021-03-07T00:00:00,24499.0,Green impact for forestfire in 24499 ha,GWIS,IND,WF,WF 1000114,14839 in the burned area,India,26 Feb 2021  - 07 Mar 2021 ,9,24499 ha
"[87.45736791100488, 24.449796441258435]",Forest fires in India,Forest fires in India,Green Forest fires in India from: 26 Feb 2021 to: 05 Mar 2021.,Green,1,GREEN,1.0,India,2021-02-26T00:00:00,2021-03-05T00:00:00,5040.0,Green impact for forestfire in 5040 ha,GWIS,IND,WF,WF 1000115,0 in the burned area,India,26 Feb 2021  - 05 Mar 2021 ,7,5040 ha
"[85.48085517576035, 21.76850986253654]",Forest fires in India,Forest fires in India,Green Forest fires in India from: 26 Feb 2021 to: 05 Mar 2021.,Green,1,GREEN,1.0,India,2021-02-26T00:00:00,2021-03-05T00:00:00,5122.0,Green impact for forestfire in 5122 ha,GWIS,IND,WF,WF 1000116,3470 in the burned area,India,26 Feb 2021  - 05 Mar 2021 ,7,5122 ha
"[82.31552368946043, 20.021522985605703]",Forest fires in India,Forest fires in India,Green Forest fires in India from: 26 Feb 2021 to: 05 Mar 2021.,Green,1,GREEN,1.0,India,2021-02-26T00:00:00,2021-03-05T00:00:00,5524.0,Green impact for forestfire in 5524 ha,GWIS,IND,WF,WF 1000117,0 in the burned area,India,26 Feb 2021  - 05 Mar 2021 ,7,5524 ha
"[82.55492315484643, 20.32659740228631]",Forest fires in India,Forest fires in India,Green Forest fires in India from: 26 Feb 2021 to: 05 Mar 2021.,Green,1,GREEN,1.0,India,2021-02-26T00:00:00,2021-03-05T00:00:00,13310.0,Green impact for forestfire in 13310 ha,GWIS,IND,WF,WF 1000123,6461 in the burned area,India,26 Feb 2021  - 05 Mar 2021 ,7,13310 ha
"[26.3315211947415, 3.032740486239429]",Forest fires in The Democratic Republic of Congo,Forest fires in The Democratic Republic of Congo,Green Forest fires in The Democratic Republic of Congo from: 25 Feb 2021 to: 05 Mar 2021.,Green,1,GREEN,1.0,The Democratic Republic of Congo,2021-02-25T00:00:00,2021-03-05T00:00:00,5376.0,Green impact for forestfire in 5376 ha,GWIS,COD,WF,WF 1000124,1766 in the burned area,The Democratic Republic of Congo,25 Feb 2021  - 05 Mar 2021 ,8,5376 ha
"[24.44338514758659, 0.49374688188473986]",Forest fires in The Democratic Republic of Congo,Forest fires in The Democratic Republic of Congo,Green Forest fires in The Democratic Republic of Congo from: 27 Feb 2021 to: 05 Mar 2021.,Green,1,GREEN,1.0,The Democratic Republic of Congo,2021-02-27T00:00:00,2021-03-05T00:00:00,5071.0,Green impact for forestfire in 5071 ha,GWIS,COD,WF,WF 1000108,6909 in the burned area,The Democratic Republic of Congo,27 Feb 2021  - 05 Mar 2021 ,6,5071 ha
"[22.49366580301363, 4.264809565822456]","Forest fires in Central African Republic, The Democratic Republic of Congo","Forest fires in Central African Republic, The Democratic Republic of Congo","Green Forest fires in Central African Republic, The Democratic Republic of Congo from: 25 Feb 2021 to: 05 Mar 2021.",Green,1,GREEN,1.0,"Central African Republic, The Democratic Republic of Congo",2021-02-25T00:00:00,2021-03-05T00:00:00,6619.0,Green impact for forestfire in 6619 ha,GWIS,CAF,WF,WF 1000129,739 in the burned area,"Central African Republic, The Democratic Republic of Congo",25 Feb 2021  - 05 Mar 2021 ,8,6619 ha
"[28.07086288460058, 2.19895046849192]",Forest fires in The Democratic Republic of Congo,Forest fires in The Democratic Republic of Congo,Green Forest fires in The Democratic Republic of Congo from: 25 Feb 2021 to: 05 Mar 2021.,Green,1,GREEN,1.0,The Democratic Republic of Congo,2021-02-25T00:00:00,2021-03-05T00:00:00,5250.0,Green impact for forestfire in 5250 ha,GWIS,COD,WF,WF 1000130,785 in the burned area,The Democratic Republic of Congo,25 Feb 2021  - 05 Mar 2021 ,8,5250 ha
"[86.38724510932315, 22.32524639205981]",Forest fires in India,Forest fires in India,Green Forest fires in India from: 25 Feb 2021 to: 05 Mar 2021.,Green,1,GREEN,1.0,India,2021-02-25T00:00:00,2021-03-05T00:00:00,9826.0,Green impact for forestfire in 9826 ha,GWIS,IND,WF,WF 1000131,0 in the burned area,India,25 Feb 2021  - 05 Mar 2021 ,8,9826 ha
"[77.64546749550678, 14.038543481589167]",Forest fires in India,Forest fires in India,Green Forest fires in India from: 24 Feb 2021 to: 05 Mar 2021.,Green,1,GREEN,1.0,India,2021-02-24T00:00:00,2021-03-05T00:00:00,5340.0,Green impact for forestfire in 5340 ha,GWIS,IND,WF,WF 1000132,3610 in the burned area,India,24 Feb 2021  - 05 Mar 2021 ,9,5340 ha
"[86.50870936529395, 22.408185761377155]",Forest fires in India,Forest fires in India,Green Forest fires in India from: 24 Feb 2021 to: 05 Mar 2021.,Green,1,GREEN,1.0,India,2021-02-24T00:00:00,2021-03-05T00:00:00,6063.0,Green impact for forestfire in 6063 ha,GWIS,IND,WF,WF 1000133,0 in the burned area,India,24 Feb 2021  - 05 Mar 2021 ,9,6063 ha
"[86.34126667948969, 22.53535372264942]",Forest fires in India,Forest fires in India,Green Forest fires in India from: 24 Feb 2021 to: 05 Mar 2021.,Green,1,GREEN,1.0,India,2021-02-24T00:00:00,2021-03-05T00:00:00,13903.0,Green impact for forestfire in 13903 ha,GWIS,IND,WF,WF 1000134,22150 in the burned area,India,24 Feb 2021  - 05 Mar 2021 ,9,13903 ha
"[29.61083218602478, 3.5829464878462756]",Forest fires in The Democratic Republic of Congo,Forest fires in The Democratic Republic of Congo,Green Forest fires in The Democratic Republic of Congo from: 24 Feb 2021 to: 05 Mar 2021.,Green,1,GREEN,1.0,The Democratic Republic of Congo,2021-02-24T00:00:00,2021-03-05T00:00:00,7690.0,Green impact for forestfire in 7690 ha,GWIS,COD,WF,WF 1000135,0 in the burned area,The Democratic Republic of Congo,24 Feb 2021  - 05 Mar 2021 ,9,7690 ha
"[23.796363628998463, 2.801513774177706]",Forest fires in The Democratic Republic of Congo,Forest fires in The Democratic Republic of Congo,Green Forest fires in The Democratic Republic of Congo from: 22 Feb 2021 to: 05 Mar 2021.,Green,1,GREEN,1.0,The Democratic Republic of Congo,2021-02-22T00:00:00,2021-03-05T00:00:00,5857.0,Green impact for forestfire in 5857 ha,GWIS,COD,WF,WF 1000146,4348 in the burned area,The Democratic Republic of Congo,22 Feb 2021  - 05 Mar 2021 ,11,5857 ha
"[85.24649212484907, 21.376840496843972]",Forest fires in India,Forest fires in India,Green Forest fires in India from: 22 Feb 2021 to: 05 Mar 2021.,Green,1,GREEN,1.0,India,2021-02-22T00:00:00,2021-03-05T00:00:00,8127.0,Green impact for forestfire in 8127 ha,GWIS,IND,WF,WF 1000147,0 in the burned area,India,22 Feb 2021  - 05 Mar 2021 ,11,8127 ha
"[24.924360161535123, 2.3849608856736353]",Forest fires in The Democratic Republic of Congo,Forest fires in The Democratic Republic of Congo,Green Forest fires in The Democratic Republic of Congo from: 22 Feb 2021 to: 05 Mar 2021.,Green,1,GREEN,1.0,The Democratic Republic of Congo,2021-02-22T00:00:00,2021-03-05T00:00:00,10113.0,Green impact for forestfire in 10113 ha,GWIS,COD,WF,WF 1000148,724 in the burned area,The Democratic Republic of Congo,22 Feb 2021  - 05 Mar 2021 ,11,10113 ha
"[23.73423784736906, 4.468487630718867]",Forest fires in The Democratic Republic of Congo,Forest fires in The Democratic Republic of Congo,Green Forest fires in The Democratic Republic of Congo from: 22 Feb 2021 to: 05 Mar 2021.,Green,1,GREEN,1.0,The Democratic Republic of Congo,2021-02-22T00:00:00,2021-03-05T00:00:00,7004.0,Green impact for forestfire in 7004 ha,GWIS,COD,WF,WF 1000149,2535 in the burned area,The Democratic Republic of Congo,22 Feb 2021  - 05 Mar 2021 ,11,7004 ha
"[27.52333051347674, 4.7352159878481075]",Forest fires in The Democratic Republic of Congo,Forest fires in The Democratic Republic of Congo,Green Forest fires in The Democratic Republic of Congo from: 20 Feb 2021 to: 05 Mar 2021.,Green,1,GREEN,1.0,The Democratic Republic of Congo,2021-02-20T00:00:00,2021-03-05T00:00:00,5181.0,Green impact for forestfire in 5181 ha,GWIS,COD,WF,WF 1000150,92 in the burned area,The Democratic Republic of Congo,20 Feb 2021  - 05 Mar 2021 ,13,5181 ha
"[28.56863774828356, 2.5961548322378682]",Forest fires in The Democratic Republic of Congo,Forest fires in The Democratic Republic of Congo,Green Forest fires in The Democratic Republic of Congo from: 20 Feb 2021 to: 05 Mar 2021.,Green,1,GREEN,1.0,The Democratic Republic of Congo,2021-02-20T00:00:00,2021-03-05T00:00:00,22550.0,Green impact for forestfire in 22550 ha,GWIS,COD,WF,WF 1000151,5920 in the burned area,The Democratic Republic of Congo,20 Feb 2021  - 05 Mar 2021 ,13,22550 ha
"[22.77772150671302, 4.685074908603419]","Forest fires in The Democratic Republic of Congo, Central African Republic","Forest fires in The Democratic Republic of Congo, Central African Republic","Green Forest fires in The Democratic Republic of Congo, Central African Republic from: 24 Feb 2021 to: 05 Mar 2021.",Green,1,GREEN,1.0,"The Democratic Republic of Congo, Central African Republic",2021-02-24T00:00:00,2021-03-05T00:00:00,7237.0,Green impact for forestfire in 7237 ha,GWIS,COD,WF,WF 1000138,1409 in the burned area,"The Democratic Republic of Congo, Central African Republic",24 Feb 2021  - 05 Mar 2021 ,9,7237 ha
"[78.87813939772967, 16.238231393031644]",Forest fires in India,Forest fires in India,Green Forest fires in India from: 24 Feb 2021 to: 05 Mar 2021.,Green,1,GREEN,1.0,India,2021-02-24T00:00:00,2021-03-05T00:00:00,5152.0,Green impact for forestfire in 5152 ha,GWIS,IND,WF,WF 1000139,0 in the burned area,India,24 Feb 2021  - 05 Mar 2021 ,9,5152 ha
"[84.247410432243, 19.81296200804108]",Forest fires in India,Forest fires in India,Green Forest fires in India from: 25 Feb 2021 to: 05 Mar 2021.,Green,1,GREEN,1.0,India,2021-02-25T00:00:00,2021-03-05T00:00:00,20349.0,Green impact for forestfire in 20349 ha,GWIS,IND,WF,WF 1000126,212 in the burned area,India,25 Feb 2021  - 05 Mar 2021 ,8,20349 ha
"[84.63128064837059, 21.546067844049823]",Forest fires in India,Forest fires in India,Green Forest fires in India from: 27 Feb 2021 to: 05 Mar 2021.,Green,1,GREEN,1.0,India,2021-02-27T00:00:00,2021-03-05T00:00:00,6275.0,Green impact for forestfire in 6275 ha,GWIS,IND,WF,WF 1000106,201 in the burned area,India,27 Feb 2021  - 05 Mar 2021 ,6,6275 ha
"[82.36542679466015, 20.428322026099018]",Forest fires in India,Forest fires in India,Green Forest fires in India from: 26 Feb 2021 to: 05 Mar 2021.,Green,1,GREEN,1.0,India,2021-02-26T00:00:00,2021-03-05T00:00:00,6464.0,Green impact for forestfire in 6464 ha,GWIS,IND,WF,WF 1000120,460 in the burned area,India,26 Feb 2021  - 05 Mar 2021 ,7,6464 ha
"[5.40262319162201, 7.717118689547457]",Forest fires in Nigeria,Forest fires in Nigeria,Green Forest fires in Nigeria from: 19 Feb 2021 to: 05 Mar 2021.,Green,1,GREEN,1.0,Nigeria,2021-02-19T00:00:00,2021-03-05T00:00:00,7941.0,Green impact for forestfire in 7941 ha,GWIS,NGA,WF,WF 1000157,7499 in the burned area,Nigeria,19 Feb 2021  - 05 Mar 2021 ,14,7941 ha
"[23.676326152377783, 3.7393173328821945]",Forest fires in The Democratic Republic of Congo,Forest fires in The Democratic Republic of Congo,Green Forest fires in The Democratic Republic of Congo from: 19 Feb 2021 to: 05 Mar 2021.,Green,1,GREEN,1.0,The Democratic Republic of Congo,2021-02-19T00:00:00,2021-03-05T00:00:00,6585.0,Green impact for forestfire in 6585 ha,GWIS,COD,WF,WF 1000158,2240 in the burned area,The Democratic Republic of Congo,19 Feb 2021  - 05 Mar 2021 ,14,6585 ha
"[30.49389494432089, 3.740260086701395]",Forest fires in The Democratic Republic of Congo,Forest fires in The Democratic Republic of Congo,Green Forest fires in The Democratic Republic of Congo from: 20 Feb 2021 to: 05 Mar 2021.,Green,1,GREEN,1.0,The Democratic Republic of Congo,2021-02-20T00:00:00,2021-03-05T00:00:00,5306.0,Green impact for forestfire in 5306 ha,GWIS,COD,WF,WF 1000155,0 in the burned area,The Democratic Republic of Congo,20 Feb 2021  - 05 Mar 2021 ,13,5306 ha
"[27.539696023469737, 2.3915939670650728]",Forest fires in The Democratic Republic of Congo,Forest fires in The Democratic Republic of Congo,Green Forest fires in The Democratic Republic of Congo from: 23 Feb 2021 to: 05 Mar 2021.,Green,1,GREEN,1.0,The Democratic Republic of Congo,2021-02-23T00:00:00,2021-03-05T00:00:00,7576.0,Green impact for forestfire in 7576 ha,GWIS,COD,WF,WF 1000141,3080 in the burned area,The Democratic Republic of Congo,23 Feb 2021  - 05 Mar 2021 ,10,7576 ha
"[29.312163716323983, 2.974350637093939]",Forest fires in The Democratic Republic of Congo,Forest fires in The Democratic Republic of Congo,Green Forest fires in The Democratic Republic of Congo from: 20 Feb 2021 to: 05 Mar 2021.,Green,1,GREEN,1.0,The Democratic Republic of Congo,2021-02-20T00:00:00,2021-03-05T00:00:00,25753.0,Green impact for forestfire in 25753 ha,GWIS,COD,WF,WF 1000153,1517 in the burned area,The Democratic Republic of Congo,20 Feb 2021  - 05 Mar 2021 ,13,25753 ha
"[25.333895392967033, 2.151561826238482]",Forest fires in The Democratic Republic of Congo,Forest fires in The Democratic Republic of Congo,Green Forest fires in The Democratic Republic of Congo from: 23 Feb 2021 to: 04 Mar 2021.,Green,1,GREEN,1.0,The Democratic Republic of Congo,2021-02-23T00:00:00,2021-03-04T00:00:00,5523.0,Green impact for forestfire in 5523 ha,GWIS,COD,WF,WF 1000140,786 in the burned area,The Democratic Republic of Congo,23 Feb 2021  - 04 Mar 2021 ,9,5523 ha
"[23.363108320541603, 5.652323078463067]",Forest fires in Central African Republic,Forest fires in Central African Republic,Green Forest fires in Central African Republic from: 26 Feb 2021 to: 04 Mar 2021.,Green,1,GREEN,1.0,Central African Republic,2021-02-26T00:00:00,2021-03-04T00:00:00,5097.0,Green impact for forestfire in 5097 ha,GWIS,CAF,WF,WF 1000119,0 in the burned area,Central African Republic,26 Feb 2021  - 04 Mar 2021 ,6,5097 ha
"[101.4202970005147, 16.808225995008154]",Forest fires in Thailand,Forest fires in Thailand,Green Forest fires in Thailand from: 20 Feb 2021 to: 02 Mar 2021.,Green,1,GREEN,1.0,Thailand,2021-02-20T00:00:00,2021-03-02T00:00:00,8254.0,Green impact for forestfire in 8254 ha,GWIS,THA,WF,WF 1000152,0 in the burned area,Thailand,20 Feb 2021  - 02 Mar 2021 ,10,8254 ha
"[28.78900371342466, 0.2897670794444628]",Forest fires in The Democratic Republic of Congo,Forest fires in The Democratic Republic of Congo,Green Forest fires in The Democratic Republic of Congo from: 25 Feb 2021 to: 01 Mar 2021.,Green,1,GREEN,1.0,The Democratic Republic of Congo,2021-02-25T00:00:00,2021-03-01T00:00:00,6657.0,Green impact for forestfire in 6657 ha,GWIS,COD,WF,WF 1000125,0 in the burned area,The Democratic Republic of Congo,25 Feb 2021  - 01 Mar 2021 ,4,6657 ha
"[83.07092632538917, 28.137416623881236]",Forest fires in Nepal,Forest fires in Nepal,GREEN Forest fires in Nepal from: 25 Mar 2021 to: 29 Apr 2021.,GREEN,1,GREEN,1.0,Nepal,2021-03-25T00:00:00,2021-04-29T00:00:00,11976.0,Green impact for forestfire in 11976 ha,GWIS,NPL,WF,WF 1000377,6476 in the burned area,Nepal,25 Mar 2021  - 29 Apr 2021 ,35,11976 ha
"[83.73578468580365, 24.816932588361812]",Forest fires in India,Forest fires in India,Green Forest fires in India from: 22 Mar 2021 to: 29 Apr 2021.,Green,1,GREEN,1.0,India,2021-03-22T00:00:00,2021-04-29T00:00:00,46221.0,Green impact for forestfire in 46221 ha,GWIS,IND,WF,WF 1000205,170150 in the burned area,India,22 Mar 2021  - 29 Apr 2021 ,38,46221 ha
"[84.96344731300886, 24.356080737031323]",Forest fires in India,Forest fires in India,Green Forest fires in India from: 25 Mar 2021 to: 28 Apr 2021.,Green,1,GREEN,1.0,India,2021-03-25T00:00:00,2021-04-28T00:00:00,12134.0,Green impact for forestfire in 12134 ha,GWIS,IND,WF,WF 1000204,18876 in the burned area,India,25 Mar 2021  - 28 Apr 2021 ,34,12134 ha
"[83.1084683097759, 24.256354938600882]",Forest fires in India,Forest fires in India,Green Forest fires in India from: 22 Mar 2021 to: 27 Apr 2021.,Green,1,GREEN,1.0,India,2021-03-22T00:00:00,2021-04-27T00:00:00,33007.0,Green impact for forestfire in 33007 ha,GWIS,IND,WF,WF 1000195,9041 in the burned area,India,22 Mar 2021  - 27 Apr 2021 ,36,33007 ha
"[79.41167220049722, 24.484609385811208]",Forest fires in India,Forest fires in India,GREEN Forest fires in India from: 26 Mar 2021 to: 27 Apr 2021.,GREEN,1,GREEN,1.0,India,2021-03-26T00:00:00,2021-04-27T00:00:00,7034.0,Green impact for forestfire in 7034 ha,GWIS,IND,WF,WF 1000376,1400 in the burned area,India,26 Mar 2021  - 27 Apr 2021 ,32,7034 ha
"[87.48914709991523, 26.952320583524966]",Forest fires in Nepal,Forest fires in Nepal,Green Forest fires in Nepal from: 18 Mar 2021 to: 20 Apr 2021.,Green,1,GREEN,1.0,Nepal,2021-03-18T00:00:00,2021-04-20T00:00:00,11025.0,Green impact for forestfire in 11025 ha,GWIS,NPL,WF,WF 1000170,245 in the burned area,Nepal,18 Mar 2021  - 20 Apr 2021 ,33,11025 ha
"[106.19836506837984, 14.761853440764337]",Forest fires in Laos,Forest fires in Laos,Green Forest fires in Laos from: 17 Mar 2021 to: 18 Apr 2021.,Green,1,GREEN,1.0,Laos,2021-03-17T00:00:00,2021-04-18T00:00:00,7440.0,Green impact for forestfire in 7440 ha,GWIS,LAO,WF,WF 1000089,0 in the burned area,Laos,17 Mar 2021  - 18 Apr 2021 ,32,7440 ha
"[84.74045429141235, 27.65038330111849]",Forest fires in Nepal,Forest fires in Nepal,Green Forest fires in Nepal from: 16 Mar 2021 to: 16 Apr 2021.,Green,1,GREEN,1.0,Nepal,2021-03-16T00:00:00,2021-04-16T00:00:00,58755.0,Green impact for forestfire in 58755 ha,GWIS,NPL,WF,WF 1000095,33676 in the burned area,Nepal,16 Mar 2021  - 16 Apr 2021 ,31,58755 ha
"[77.65093975873754, 30.381806901504632]",Forest fires in India,Forest fires in India,Green Forest fires in India from: 28 Mar 2021 to: 16 Apr 2021.,Green,1,GREEN,1.0,India,2021-03-28T00:00:00,2021-04-16T00:00:00,5206.0,Green impact for forestfire in 5206 ha,GWIS,IND,WF,WF 1000037,7025 in the burned area,India,28 Mar 2021  - 16 Apr 2021 ,19,5206 ha
"[124.76618457379503, 44.03461609605167]",Forest fires in China,Forest fires in China,Green Forest fires in China from: 30 Mar 2021 to: 15 Apr 2021.,Green,1,GREEN,1.0,China,2021-03-30T00:00:00,2021-04-15T00:00:00,10020.0,Green impact for forestfire in 10020 ha,GWIS,CHN,WF,WF 1000029,14156 in the burned area,China,30 Mar 2021  - 15 Apr 2021 ,16,10020 ha
"[-4.648142888786718, 14.48452126368858]",Forest fires in Mali,Forest fires in Mali,Green Forest fires in Mali from: 31 Mar 2021 to: 14 Apr 2021.,Green,1,GREEN,1.0,Mali,2021-03-31T00:00:00,2021-04-14T00:00:00,6439.0,Green impact for forestfire in 6439 ha,GWIS,MLI,WF,WF 1000026,3 in the burned area,Mali,31 Mar 2021  - 14 Apr 2021 ,14,6439 ha
"[106.59799700245779, 14.076137587609947]",Forest fires in Cambodia,Forest fires in Cambodia,Green Forest fires in Cambodia from: 08 Mar 2021 to: 13 Apr 2021.,Green,1,GREEN,1.0,Cambodia,2021-03-08T00:00:00,2021-04-13T00:00:00,7037.0,Green impact for forestfire in 7037 ha,GWIS,KHM,WF,WF 1000104,0 in the burned area,Cambodia,08 Mar 2021  - 13 Apr 2021 ,36,7037 ha
"[84.46854856765766, 23.538976704444476]",Forest fires in India,Forest fires in India,GREEN Forest fires in India from: 25 Mar 2021 to: 12 Apr 2021.,GREEN,1,GREEN,1.0,India,2021-03-25T00:00:00,2021-04-12T00:00:00,21944.0,Green impact for forestfire in 21944 ha,GWIS,IND,WF,WF 1000378,21061 in the burned area,India,25 Mar 2021  - 12 Apr 2021 ,18,21944 ha
